stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
15,1,3.0,45.27197580001666,45.77198980000685,45.77198980000685,45.77198980000685,46.07213790001697,right,3.0,1,1,0.4078579999913927,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
16,1,3.0,46.205432899994776,46.70563300000504,46.70563300000504,46.70563300000504,47.0049497,right,3.0,1,1,0.460876900004223,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
17,1,3.0,47.19173600000795,47.6720380000188,47.6720380000188,47.704666400008136,47.97112870001001,left,-3.0,1,1,0.4688026999938302,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
18,1,2.0,48.17167270000209,48.67217830001027,48.67217830001027,48.67217830001027,48.971833600022364,right,2.0,1,1,0.5567165999964345,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
19,1,2.0,49.25769320002291,49.7380664999946,49.7380664999946,49.77163329999894,50.03882310001063,right,2.0,1,1,0.47011870000278577,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
20,1,2.0,50.239674200012814,50.738478700019186,50.738478700019186,50.738478700019186,51.03897650001454,left,-2.0,1,1,0.49193829999421723,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
21,1,1.0,51.25758830000996,51.73849540000083,51.73849540000083,51.77194830001099,52.03788849999546,left,-1.0,1,1,0.8504974000097718,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
22,0.5,1.0,52.60511200001929,53.10502160000033,53.10502160000033,53.10502160000033,53.40571990000899,right,1.0,0,0,0.5896587999886833,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
23,0.5,1.5,53.72430650002207,54.20493580002221,54.20493580002221,54.238157600018894,54.50591340000392,left,-1.5,1,1,0.8758358999912161,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
24,0.5,1.5,55.106124200014165,55.60509270001785,55.60509270001785,55.60509270001785,55.905723400006536,right,1.5,1,1,0.4814386000216473,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
25,0.5,1.5,56.105305900011444,56.604810600023484,56.604810600023484,56.604810600023484,56.904925700015156,left,-1.5,1,1,0.7961684999754652,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
26,0.5,1.0,57.42441500001587,57.905137699999614,57.905137699999614,57.93827830001828,58.20515900000464,right,1.0,0,0,0.3989272000035271,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
27,0.5,1.5,58.32391790000838,58.82467150001321,58.82467150001321,58.83827560002101,59.138344500010135,left,-1.5,0,0,0.5565399000188336,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
28,0.5,2.0,59.40487779999967,59.90525020001223,59.90525020001223,59.90525020001223,60.20522530001472,right,2.0,1,1,0.5100962000142317,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
29,0.5,2.0,60.43854210001882,60.937953100015875,60.937953100015875,60.937953100015875,61.240652600012254,right,2.0,1,1,0.40947710000909865,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
30,0.5,2.0,61.37141490000067,61.87413340000785,61.87413340000785,61.87413340000785,62.17140780002228,right,2.0,1,1,0.5092096999869682,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
31,0.5,1.5,62.40491500002099,62.90761750002275,62.90761750002275,62.90761750002275,63.20480730000418,right,1.5,1,1,0.4367756000137888,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
32,0.5,1.5,63.37167049999698,63.87606070001493,63.87606070001493,63.87606070001493,64.19089260001783,left,-1.5,1,1,0.5478430000075605,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
33,0.5,1.5,64.43798430002062,64.93926800001645,64.93926800001645,64.93926800001645,65.23831889999565,right,1.5,1,1,0.42781699998886324,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
34,0.5,1.0,65.39063170002191,65.87191710001207,65.87191710001207,65.90453840000555,66.17149120001704,left,-1.0,1,1,0.31758699999772944,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
35,0.5,1.0,66.20472589999554,66.69122560002143,66.69122560002143,66.70497240000986,67.00439470002311,right,1.0,1,1,0.4402489000058267,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
36,0.5,1.0,67.15773110001464,67.6380191000062,67.6380191000062,67.67170120001538,67.93828299999586,right,1.0,0,0,0.34018460000515915,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
37,0.5,1.5,68.00452660000883,68.50856630000635,68.50856630000635,68.50856630000635,68.8242792999954,left,-1.5,1,1,0.42966429999796674,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
38,0.5,1.5,68.95741920001456,69.43815870000981,69.43815870000981,69.4714956000098,69.73787440001615,right,1.5,0,0,0.41317770001478493,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
39,0.5,2.0,69.8715830000001,70.37159300001804,70.37159300001804,70.37159300001804,70.67131050000899,left,-2.0,1,1,0.5540457000024617,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
40,0.5,2.0,70.95732250000583,71.4378629999992,71.4378629999992,71.47166619999916,71.7381607000134,left,-2.0,0,0,0.4441977000096813,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
41,0.5,2.5,71.90481300000101,72.40480410002056,72.40480410002056,72.40480410002056,72.70472959999461,left,-2.5,1,1,0.35923689999617636,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
42,0.5,2.5,72.78823100001318,73.27155540001695,73.27155540001695,73.29066890000831,73.57117160002235,left,-2.5,1,1,0.5253926999866962,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
43,0.5,2.5,73.82437170000048,74.3051889000053,74.3051889000053,74.33811599999899,74.60542200002237,left,-2.5,1,1,0.30116140001337044,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
44,0.5,2.0,74.6377878000203,75.1384980000148,75.1384980000148,75.1384980000148,75.43752259999746,left,-2.0,0,0,0.3448093000042718,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
45,0.5,2.5,75.5069480999955,75.99071760001243,75.99071760001243,76.00450120001915,76.30484650001745,right,2.5,0,0,0.29952900001080707,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
46,0.5,3.0,76.30484650001745,76.80500260001281,76.80500260001281,76.80500260001281,77.10446500001126,left,-3.0,1,1,0.36625020002247766,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
47,0.5,3.0,77.18982920001145,77.67111440000008,77.67111440000008,77.7049467000179,77.97119840001687,right,3.0,1,1,0.43788740001036786,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
48,0.5,3.0,78.13788290001685,78.64081840001745,78.64081840001745,78.64081840001745,78.93742880001082,left,-3.0,0,0,0.3791619000257924,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
49,0.5,3.5,79.03759680001531,79.53819580000709,79.53819580000709,79.53819580000709,79.83784789999481,left,-3.5,1,1,0.5302093999926001,132,001,2023-09-07_08h27.19.523,Adaptive staircase,2023.1.3,None,
